species_id,scientific_name,common_name,family,edibility_status,toxicity_level
286,Macrolepiota,,,unknown,unknown
287,Umbilicaria crustulosa,,,unknown,unknown
288,Boletus,Porcini and Allies,,unknown,unknown
289,Marasmius bulliardii,,,unknown,unknown
290,Usnea,beard lichens,,unknown,unknown
291,Gyroporus castaneus,Chestnut Bolete,,unknown,unknown
292,Fusicolla,,,unknown,unknown
293,Pluteus,,,unknown,unknown
294,Panellus,Oysterlings,,unknown,unknown
295,Volvariella bombycina,Silky Rosegill,,unknown,unknown
296,Tubaria furfuracea,scurfy twiglet,,unknown,unknown
297,Hypomyces tubariicola,,,unknown,unknown
298,Aleuria aurantia,orange peel fungus,,unknown,unknown
299,Paralepista flaccida,tawny funnel cap,,unknown,unknown
300,Homophron spadiceum,chestnut brittlestem,,unknown,unknown
301,Auricularia polytricha,Wood Ear mushroom,,unknown,unknown
302,Julella vitrispora,,,unknown,unknown
303,Omphalotus subilludens,southern jack-o'-lantern,,unknown,unknown
304,Fomes,,,unknown,unknown
305,Volvopluteus,,,unknown,unknown
306,Pluteus chrysophlebius,Yellow Deer Mushroom,,unknown,unknown
307,Gymnopus brassicolens,Cabbage Parachute,,unknown,unknown
308,Amanita rubescens,blusher,,unknown,unknown
309,Pleurotus citrinopileatus,Golden Oyster Mushroom,,unknown,unknown
310,Psilocybe gallaeciae,,,unknown,unknown
311,Limacellopsis guttata,weeping slimecap,,unknown,unknown
312,Paxillus ammoniavirescens,,,unknown,unknown
313,Sparassis crispa,Cauliflower Fungus,,unknown,unknown
314,Agaricus incultorum,Poor-ground Agaricus,,unknown,unknown
315,Agaricus placomyces,inky mushroom,,unknown,unknown
316,Mycena rosea,Rosy Bonnet,,unknown,unknown
317,Mycena chlorinosma,,,unknown,unknown
318,Flammulaster erinaceellus,powder-scale pholiota,,unknown,unknown
319,Subniveae,Coprinopsis sect. Subniveae,,unknown,unknown
320,Roridomyces appendiculatus,,,unknown,unknown
321,Hypomyces ochraceus,,,unknown,unknown
322,Brevipes,,,unknown,unknown
323,Suillus,Slippery Jacks,,unknown,unknown
324,Russula adusta,Blackening Russula,,unknown,unknown
325,Russula atropurpurea,Purple Brittlegill,,unknown,unknown
326,Inonotus obliquus,chaga,,unknown,unknown
327,Mesophyllum lichenoides,pink plates,,unknown,unknown
