location_id,latitude,longitude,region_pt,habitat_type,country,state,county
49752,43.3352333333,-8.263175,norte,unknown,,,
49753,39.41486034,-9.18740374,sul,unknown,,,
49754,39.2360457135,-8.8743476942,sul,unknown,,,
49755,37.7632694,-6.19973356,sul,unknown,,,
49756,39.70318,-8.8518083333,sul,unknown,,,
49757,39.7031333333,-8.8519233333,sul,unknown,,,
49758,39.70281,-8.85285,sul,unknown,,,
49759,39.70296,-8.85296,sul,unknown,,,
49760,43.3217822084,-4.3379492491,norte,unknown,,,
49761,39.8511390686,-7.4740920067,sul,unknown,,,
49762,42.5188366667,-0.66798,norte,unknown,,,
49763,41.6693416667,2.5156216667,norte,unknown,,,
49764,40.169645,-5.3713833333,sul,unknown,,,
49765,40.169675,-5.3713883333,sul,unknown,,,
49766,41.2370494997,-7.9507025,norte,unknown,,,
49767,43.4441087411,-3.4673026577,norte,unknown,,,
49768,37.7081266667,-8.4916733333,sul,unknown,,,
49769,40.1469416667,-5.3670283333,sul,unknown,,,
49770,38.3760866667,-8.5035083333,sul,unknown,,,
49771,38.7642416469,-9.453289099,sul,unknown,,,
49772,38.8347283333,-8.966625,sul,unknown,,,
49773,38.7645493428,-9.4544454664,sul,unknown,,,
49774,38.7556139049,0.1677641571,sul,unknown,,,
49775,38.8851620319,-7.1711684858,sul,unknown,,,
49776,42.74658042,-8.61327511,norte,unknown,,,
49777,42.75259415,-8.63313272,norte,unknown,,,
49778,39.681542,-7.577797,sul,unknown,,,
49779,39.681806,-7.5774699722,sul,unknown,,,
49780,41.660075,-8.6708583333,norte,unknown,,,
49781,39.6812589722,-7.580947,sul,unknown,,,
49782,41.66037,-8.66948,norte,unknown,,,
49783,41.66045,-8.6696366667,norte,unknown,,,
49784,41.6604783333,-8.670095,norte,unknown,,,
49785,41.6606533333,-8.6695166667,norte,unknown,,,
49786,41.660655,-8.6705333333,norte,unknown,,,
49787,40.2303116667,-8.39487,sul,unknown,,,
49788,38.2840469,-3.5902864,sul,unknown,,,
49789,38.3313283333,-3.5918433333,sul,unknown,,,
49790,41.3157032692,-3.8736719112,norte,unknown,,,
49791,40.3927045661,-6.2505461276,sul,unknown,,,
49792,38.742012,-9.1273603333,sul,unknown,,,
49793,38.8299488974,-9.3764277175,sul,unknown,,,
49794,36.7618361896,-5.504533276,sul,unknown,,,
49795,40.1889094576,-8.4074593984,sul,unknown,,,
49796,40.0781459766,-8.5625791127,sul,unknown,,,
49797,40.1883966667,-8.4070916667,sul,unknown,,,
49798,40.1883466667,-8.407075,sul,unknown,,,
49799,40.3250921469,-8.520306806,sul,unknown,,,
49800,40.188245,-8.4070333333,sul,unknown,,,
49801,42.517640954,-7.4536709977,norte,unknown,,,
49802,43.2976194444,-7.8835527778,norte,unknown,,,
49803,42.0812891065,-8.3971910924,norte,unknown,,,
49804,41.7495710732,-2.4881290832,norte,unknown,,,
49805,36.7692201806,-5.49576547,sul,unknown,,,
49806,38.7134476292,-9.3219513819,sul,unknown,,,
49807,36.7719292383,-5.4867616296,sul,unknown,,,
49808,36.7713835133,-5.4844556004,sul,unknown,,,
49809,42.9265476974,-1.8313942105,norte,unknown,,,
49810,39.70312,-8.8517933333,sul,unknown,,,
49811,39.70293,-8.85303,sul,unknown,,,
49812,39.4054579,-2.9449118,sul,unknown,,,
49813,42.5253277778,2.2355222222,norte,unknown,,,
49814,42.3154254,-0.6208606,norte,unknown,,,
49815,39.4220927978,-1.5220940687,sul,unknown,,,
49816,37.0164184094,-7.9351983592,sul,unknown,,,
49817,41.1384378937,-3.6895826831,norte,unknown,,,
49818,38.2968485997,-7.7230353997,sul,unknown,,,
49819,38.2969709997,-7.7229092,sul,unknown,,,
49820,38.2969606997,-7.7229232,sul,unknown,,,
49821,38.2969458997,-7.7229001997,sul,unknown,,,
49822,38.9023035121,-9.2784860566,sul,unknown,,,
49823,41.461972051,-8.5643634573,norte,unknown,,,
49824,41.4618456699,-8.5639631376,norte,unknown,,,
49825,41.4619346141,-8.5627008229,norte,unknown,,,
49826,41.4620082316,-8.5641679913,norte,unknown,,,
49827,41.4631175095,-8.5635450482,norte,unknown,,,
49828,41.4618107455,-8.5619575158,norte,unknown,,,
49829,42.243625,0.9711116667,norte,unknown,,,
49830,42.6334209989,0.2180179954,norte,unknown,,,
49831,36.7716456337,-5.4898163304,sul,unknown,,,
49832,36.7718108013,-5.4882529378,sul,unknown,,,
49833,36.771946695,-5.4868327081,sul,unknown,,,
49834,36.771718952,-5.4855563119,sul,unknown,,,
49835,36.7714240669,-5.4834819585,sul,unknown,,,
49836,40.7398724,0.0408393997,norte,unknown,,,
49837,43.1585985445,-8.194696717,norte,unknown,,,
49838,36.7701867722,-5.4765343666,sul,unknown,,,
49839,41.3551633,2.043333,norte,unknown,,,
49840,40.3182424698,-3.7989754044,sul,unknown,,,
49841,40.3179376619,-3.7975886185,sul,unknown,,,
49842,36.7717568197,-5.4875646159,sul,unknown,,,
49843,36.771826378,-5.4885141179,sul,unknown,,,
49844,36.7893002409,-5.6010635475,sul,unknown,,,
49845,43.293275,-3.701805,norte,unknown,,,
49846,37.4254929973,-5.8337710798,sul,unknown,,,
49847,36.7715967548,-5.4902303964,sul,unknown,,,
49848,38.0579789742,-8.735896622,sul,unknown,,,
49849,42.2234166079,-0.4713335261,norte,unknown,,,
49850,38.0580932536,-8.7363643325,sul,unknown,,,
49851,38.0580420471,-8.7368848312,sul,unknown,,,
49852,38.0584199592,-8.7343933319,sul,unknown,,,
49853,38.0583945168,-8.7337753977,sul,unknown,,,
49854,38.0589646776,-8.7318913375,sul,unknown,,,
49855,38.6848621389,-9.3329136392,sul,unknown,,,
49856,39.5252176116,-7.8357560973,sul,unknown,,,
49857,39.6062640997,-8.4137962,sul,unknown,,,
49858,39.6048852997,-8.4107123,sul,unknown,,,
49859,40.406923,-3.7646193,sul,unknown,,,
49860,43.36127477,-8.12771938,norte,unknown,,,
49861,43.329473649,-8.4291422367,norte,unknown,,,
49862,37.1825891,-5.7735325,sul,unknown,,,
49863,42.2634729417,-2.1328052692,norte,unknown,,,
49864,42.2634697147,-2.132908199,norte,unknown,,,
49865,43.0658451707,-4.3360932755,norte,unknown,,,
49866,39.7991907905,-8.9037336409,sul,unknown,,,
49867,38.58260145,-7.92845554,sul,unknown,,,
49868,41.9421556173,1.669750968,norte,unknown,,,
49869,40.0926332758,-8.3178476617,sul,unknown,,,
49870,40.40495724,-3.76433555,sul,unknown,,,
49871,40.40502074,-3.76434525,sul,unknown,,,
49872,40.40531568,-3.76446737,sul,unknown,,,
49873,41.5599652527,-8.5631792438,norte,unknown,,,
49874,43.3279865,-8.4295615,norte,unknown,,,
49875,42.6612194444,-2.4893666667,norte,unknown,,,
49876,42.758632279,-8.5579746869,norte,unknown,,,
49877,42.7568725404,-8.5590703692,norte,unknown,,,
49878,42.7559258824,-8.5569274242,norte,unknown,,,
49879,42.7518226533,-8.5564230289,norte,unknown,,,
49880,42.7505592071,-8.5555466171,norte,unknown,,,
49881,42.7506193892,-8.5555831622,norte,unknown,,,
49882,42.2263983333,-0.4698783333,norte,unknown,,,
49883,37.2524214472,-8.3443338889,sul,unknown,,,
49884,39.375728,-8.6075909722,sul,unknown,,,
49885,42.0850215994,-8.874136135,norte,unknown,,,
49886,41.648715,2.7404736997,norte,unknown,,,
49887,40.5543921613,-4.3666309118,norte,unknown,,,
49888,40.5683532126,-4.3613094091,norte,unknown,,,
49889,38.2245133333,-8.651525,sul,unknown,,,
49890,38.223995,-8.6503133333,sul,unknown,,,
49891,38.224,-8.6504233333,sul,unknown,,,
49892,38.2240916667,-8.6503783333,sul,unknown,,,
49893,40.4308627981,-3.4527824996,sul,unknown,,,
49894,40.5665246271,-3.5591352345,norte,unknown,,,
49895,38.7184472222,-9.4798222222,sul,unknown,,,
49896,42.66121,-4.09111,norte,unknown,,,
49897,43.32887,-8.4294716667,norte,unknown,,,
49898,43.3288683333,-8.4294716667,norte,unknown,,,
49899,43.32804,-8.4299116667,norte,unknown,,,
49900,42.1784622,-8.17575736,norte,unknown,,,
49901,40.2213170475,-8.4457169148,sul,unknown,,,
49902,40.222300021,-8.4455565177,sul,unknown,,,
49903,42.17890706,-8.17515148,norte,unknown,,,
49904,40.2223756953,-8.4455335542,sul,unknown,,,
49905,41.1602638333,-8.6577966667,norte,unknown,,,
49906,41.2761033333,1.9745133333,norte,unknown,,,
49907,41.1602471667,-8.6577583333,norte,unknown,,,
49908,41.1602638333,-8.6577616667,norte,unknown,,,
49909,42.17799268,-8.17347678,norte,unknown,,,
49910,42.17818887,-8.17364084,norte,unknown,,,
49911,42.8592,-2.9115233333,norte,unknown,,,
49912,37.7610046411,-2.9107808322,sul,unknown,,,
49913,42.1892993,-8.1572431,norte,unknown,,,
49914,37.199105,-7.2963283333,sul,unknown,,,
49915,36.5510616667,-6.1385933333,sul,unknown,,,
49916,38.5215344687,-8.8375581801,sul,unknown,,,
49917,38.5201567962,-8.8399091363,sul,unknown,,,
49918,42.1811482,-8.1425611,norte,unknown,,,
49919,38.5193790239,-8.83876618,sul,unknown,,,
49920,40.1063193628,-4.6840582788,sul,unknown,,,
49921,39.0034555098,-8.9846746624,sul,unknown,,,
49922,41.2933771548,-7.8571306542,norte,unknown,,,
49923,39.5371179096,-9.0830987412,sul,unknown,,,
49924,43.2321783333,-1.9513466667,norte,unknown,,,
49925,40.411505,-3.8600916667,sul,unknown,,,
49926,41.6396216667,-8.7156666667,norte,unknown,,,
49927,40.1026604346,-8.2518576086,sul,unknown,,,
49928,40.100492373,-8.2542933896,sul,unknown,,,
49929,41.0204612184,-3.4485643264,norte,unknown,,,
49930,43.1519027778,-0.6106694444,norte,unknown,,,
49931,42.6380128963,-0.1036899894,norte,unknown,,,
49932,42.7960378801,-0.0321782566,norte,unknown,,,
49933,43.2523675147,-3.8626452124,norte,unknown,,,
49934,42.6278042207,-0.1099786162,norte,unknown,,,
49935,38.660585,-9.169202,sul,unknown,,,
49936,42.6453205498,-0.08167294,norte,unknown,,,
49937,37.1572968841,-7.8917945176,sul,unknown,,,
49938,42.6167194022,-0.1690844446,norte,unknown,,,
49939,42.6642093888,-0.190058378,norte,unknown,,,
49940,42.7358568114,-0.1196482215,norte,unknown,,,
49941,42.6908767579,-0.1353032155,norte,unknown,,,
49942,41.5833976619,-8.3889355883,norte,unknown,,,
49943,38.660441,-9.169264,sul,unknown,,,
49944,38.66028,-9.169293,sul,unknown,,,
49945,40.6106181123,-7.7513155381,norte,unknown,,,
49946,40.6119795823,-7.7519285009,norte,unknown,,,
49947,40.6121976666,-7.7526114839,norte,unknown,,,
49948,40.6115926172,-7.7520417982,norte,unknown,,,
49949,41.4616542134,-8.562319614,norte,unknown,,,
49950,41.4616562235,-8.5624781996,norte,unknown,,,
49951,41.4617449166,-8.5622894391,norte,unknown,,,
49952,41.4620356183,-8.5625221208,norte,unknown,,,
49953,41.4616175301,-8.5625533015,norte,unknown,,,
49954,40.6103992742,-7.7511859862,norte,unknown,,,
49955,41.4617024545,-8.5628154874,norte,unknown,,,
49956,41.4618120018,-8.5626592487,norte,unknown,,,
49957,40.6092600885,-7.7526183767,norte,unknown,,,
49958,41.4615999422,-8.5622039437,norte,unknown,,,
49959,41.4618293383,-8.5622994974,norte,unknown,,,
49960,41.4616396406,-8.56228441,norte,unknown,,,
49961,41.4617901426,-8.5625097156,norte,unknown,,,
49962,41.4618067254,-8.5624554008,norte,unknown,,,
49963,41.4617052183,-8.5621757805,norte,unknown,,,
49964,38.544629,-9.0314599722,sul,unknown,,,
49965,41.4617833587,-8.5623796284,norte,unknown,,,
49966,41.4617692884,-8.5623108968,norte,unknown,,,
49967,42.2403629793,1.9292506256,norte,unknown,,,
49968,42.2623672757,1.9337965703,norte,unknown,,,
49969,41.4615934095,-8.5621197894,norte,unknown,,,
49970,41.461973056,-8.5615300387,norte,unknown,,,
49971,41.4618974284,-8.5616265982,norte,unknown,,,
49972,43.3290866667,-8.4295516667,norte,unknown,,,
49973,39.6377105556,-7.4977898333,sul,unknown,,,
49974,39.7011569179,-7.3154297099,sul,unknown,,,
49975,41.6990472064,-0.9348738939,norte,unknown,,,
49976,39.6785063852,-7.3095898703,sul,unknown,,,
49977,39.7053119639,-7.2940545157,sul,unknown,,,
49978,39.6311919722,-7.69237,sul,unknown,,,
49979,39.6391419722,-7.688761,sul,unknown,,,
49980,39.63884,-7.6898549722,sul,unknown,,,
49981,36.9997777778,-4.5273,sul,unknown,,,
49982,41.9997102248,-8.7640954927,norte,unknown,,,
49983,42.0010992758,-8.7642054632,norte,unknown,,,
49984,39.639108,-7.688888,sul,unknown,,,
49985,41.2362166667,-8.329115,norte,unknown,,,
49986,39.644731,-7.6942029722,sul,unknown,,,
49987,39.644232,-7.694433,sul,unknown,,,
49988,41.0946074,-7.7285209,norte,unknown,,,
49989,38.7594502997,-9.1337395,sul,unknown,,,
49990,38.7606869997,-9.1325762,sul,unknown,,,
49991,39.6437439722,-7.692273,sul,unknown,,,
49992,40.8625866667,-8.2856333333,norte,unknown,,,
49993,39.1666391408,-0.2229160176,sul,unknown,,,
49994,39.9882833333,-1.8746805556,sul,unknown,,,
49995,41.0786960669,-8.6564648151,norte,unknown,,,
49996,41.078770876,-8.656014204,norte,unknown,,,
49997,41.0780258135,-8.6563350633,norte,unknown,,,
49998,39.4449,-8.7142533333,sul,unknown,,,
49999,43.0028469037,-7.6008195956,norte,unknown,,,
50000,43.1874917525,-8.3684787154,norte,unknown,,,
50001,43.0009974232,-7.6036647632,norte,unknown,,,
50002,42.9999898628,-7.6056524851,norte,unknown,,,
50003,41.0794572965,-8.6537504196,norte,unknown,,,
50004,36.6953238997,-5.4432209,sul,unknown,,,
50005,40.545845,-3.6789383333,norte,unknown,,,
50006,40.5457733333,-3.6789283333,norte,unknown,,,
50007,38.7022133333,-8.325695,sul,unknown,,,
50008,38.7025283333,-8.3240466667,sul,unknown,,,
50009,38.7025633333,-8.3236083333,sul,unknown,,,
50010,43.0714083617,-7.7513733445,norte,unknown,,,
50011,36.7556034,-6.3963796,sul,unknown,,,
50012,40.6914050997,-3.9913517,norte,unknown,,,
50013,41.0981584149,-8.5545017274,norte,unknown,,,
50014,41.6489541389,-1.8674734516,norte,unknown,,,
50015,39.2583270106,-8.6863820371,sul,unknown,,,
50016,39.2582746391,-8.686662933,sul,unknown,,,
50017,39.2576100479,-8.6878645627,sul,unknown,,,
50018,39.2580088034,-8.6885512082,sul,unknown,,,
50019,39.8453388483,-8.4503960594,sul,unknown,,,
50020,43.5276305556,-5.9191611111,norte,unknown,,,
50021,43.0055555556,-7.5598666667,norte,unknown,,,
50022,43.361175,-6.9179944444,norte,unknown,,,
50023,40.6828452042,-3.0825773254,norte,unknown,,,
50024,43.5279111111,-5.9189944444,norte,unknown,,,
50025,43.4883780747,-6.1165767277,norte,unknown,,,
50026,37.5056119296,-4.4360701096,sul,unknown,,,
50027,42.9656438005,-6.2610692655,norte,unknown,,,
50028,43.5380083333,-5.907225,norte,unknown,,,
50029,43.5611611111,-5.9767805556,norte,unknown,,,
50030,37.25385285,-7.39874048,sul,unknown,,,
50031,43.3990027778,-6.1921944444,norte,unknown,,,
50032,42.3620972222,-5.3323555556,norte,unknown,,,
50033,38.7826466667,-9.1676783333,sul,unknown,,,
50034,39.643898,-7.6943279722,sul,unknown,,,
50035,37.8866615278,-6.7850770833,sul,unknown,,,
50036,37.8866195556,-6.7850527222,sul,unknown,,,
50037,40.1991007201,-8.4285363927,sul,unknown,,,
50038,37.8867225556,-6.79119775,sul,unknown,,,
50039,41.5636133333,2.279105,norte,unknown,,,
50040,37.8906440556,-6.8044561944,sul,unknown,,,
50041,40.2017027597,-8.4300481528,sul,unknown,,,
50042,37.8864518875,-6.7781523988,sul,unknown,,,
50043,42.826546702,1.037657336,norte,unknown,,,
50044,39.6450069722,-7.6944549722,sul,unknown,,,
50045,38.3838115518,-0.5104018421,sul,unknown,,,
50046,41.2931319,-8.2805274,norte,unknown,,,
50047,37.3519080337,-5.9886263867,sul,unknown,,,
50048,40.207508,-8.422008,sul,unknown,,,
50049,43.266655,-7.2551216667,norte,unknown,,,
50050,42.6408038091,-8.8993209527,norte,unknown,,,
50051,43.6209444444,-8.1819527778,norte,unknown,,,
50052,43.4877722222,-8.1228166667,norte,unknown,,,
50053,38.2226583333,-7.8290944444,sul,unknown,,,
50054,41.7848472222,-0.5123388889,norte,unknown,,,
50055,37.1796133333,-7.8848133333,sul,unknown,,,
50056,40.5414629018,-3.6745753884,norte,unknown,,,
50057,42.081897269,-8.8671717793,norte,unknown,,,
50058,41.7862300573,-8.8626975194,norte,unknown,,,
50059,41.7864068029,-8.8626190647,norte,unknown,,,
50060,37.0921666667,-8.4525666667,sul,unknown,,,
50061,42.0098996087,2.8065950917,norte,unknown,,,
50062,39.4948984319,-8.0932347456,sul,unknown,,,
50063,40.53685,-3.6842949722,norte,unknown,,,
50064,40.5360633333,-3.6859566667,norte,unknown,,,
50065,40.5361016667,-3.6859483333,norte,unknown,,,
50066,38.1407138889,-4.9024,sul,unknown,,,
50067,37.3387043491,-3.5722790189,sul,unknown,,,
50068,37.3614050864,-3.5256862398,sul,unknown,,,
50069,41.0780157041,-8.6452072486,norte,unknown,,,
50070,40.5358983333,-3.6888233333,norte,unknown,,,
50071,40.5356966667,-3.68929,norte,unknown,,,
50072,40.536765,-3.683585,norte,unknown,,,
50073,38.5021719099,-2.4721306536,sul,unknown,,,
50074,38.426972267,-2.370587951,sul,unknown,,,
50075,38.4472018912,-2.3874997468,sul,unknown,,,
50076,40.5031787,-3.6064265,norte,unknown,,,
50077,41.1977037667,-8.5549608167,norte,unknown,,,
50078,40.318805,-3.4979083333,sul,unknown,,,
50079,36.9833454098,-5.9420040201,sul,unknown,,,
50080,40.4130373427,-3.6828101997,sul,unknown,,,
50081,40.50365789,-3.60256174,norte,unknown,,,
50082,40.50365494,-3.60256297,norte,unknown,,,
50083,41.51610613,-3.62961396,norte,unknown,,,
50084,41.5207917,-3.6358358,norte,unknown,,,
50085,39.435025,-7.4629133333,sul,unknown,,,
50086,38.5156857983,-2.4953148796,sul,unknown,,,
50087,37.0830672747,-8.6702180933,sul,unknown,,,
50088,41.51673831,-3.63073766,norte,unknown,,,
50089,41.51372963,-3.62736389,norte,unknown,,,
50090,41.51383588,-3.62732187,norte,unknown,,,
50091,38.6260549344,-9.1132673598,sul,unknown,,,
50092,41.51779184,-3.62862538,norte,unknown,,,
50093,41.5188629702,-3.6336683482,norte,unknown,,,
50094,41.0496601195,-8.6413825794,norte,unknown,,,
50095,37.7372066667,-8.64944,sul,unknown,,,
50096,38.5189806306,-8.8387076643,sul,unknown,,,
50097,39.2894603824,-7.4297796562,sul,unknown,,,
50098,41.2038306944,-8.3102617222,norte,unknown,,,
50099,37.9213173411,-6.7182067037,sul,unknown,,,
50100,40.783710246,-6.9898752496,norte,unknown,,,
50101,38.61620869,-9.11401828,sul,unknown,,,
50102,38.61605123,-9.11399299,sul,unknown,,,
50103,38.61624933,-9.11411404,sul,unknown,,,
50104,38.736155,-9.2079883333,sul,unknown,,,
50105,38.616345,-9.11408724,sul,unknown,,,
50106,38.61638334,-9.11410595,sul,unknown,,,
50107,40.7838376859,-6.9894635305,norte,unknown,,,
50108,38.61630012,-9.11529897,sul,unknown,,,
50109,38.6156618,-9.1163481,sul,unknown,,,
50110,40.4909148891,-7.5727424557,sul,unknown,,,
50111,41.04332166,-8.63293916,norte,unknown,,,
50112,43.3776128831,-8.1752572474,norte,unknown,,,
50113,43.3675012092,-8.1796861963,norte,unknown,,,
50114,43.5432317782,-6.0930404958,norte,unknown,,,
50115,38.5671754553,-9.0342689273,sul,unknown,,,
50116,37.036385,-8.953725,sul,unknown,,,
50117,36.7889,-2.8524316667,sul,unknown,,,
50118,36.78893,-2.8524483333,sul,unknown,,,
50119,40.5444818207,-8.749070093,norte,unknown,,,
50120,41.7706112482,-2.4286454018,norte,unknown,,,
50121,42.17973757,-8.62682614,norte,unknown,,,
50122,43.26537,-7.2547666667,norte,unknown,,,
50123,43.2684466667,-7.25823,norte,unknown,,,
50124,42.2395666667,-0.2703316667,norte,unknown,,,
50125,38.6379683333,-9.1651916667,sul,unknown,,,
50126,38.6379166667,-9.16559,sul,unknown,,,
50127,38.638135,-9.16637,sul,unknown,,,
50128,38.5979539397,-8.6050736904,sul,unknown,,,
50129,40.4187899777,-3.7457682565,sul,unknown,,,
50130,40.0410430638,-7.3142736201,sul,unknown,,,
50131,37.0511055556,-8.9776305556,sul,unknown,,,
50132,37.0592527778,-8.9700277778,sul,unknown,,,
50133,40.3760555175,-7.8233264387,sul,unknown,,,
50134,43.4857108617,-7.6598612879,norte,unknown,,,
