species_name,season,region_pt,observation_count
Pleurotus populinus,autumn,norte,5
Pleurotus populinus,autumn,sul,2
Pleurotus populinus,summer,norte,1
Pleurotus populinus,unknown,sul,1
Pleurotus populinus,winter,norte,1
Pleurotus populinus,winter,sul,6
Pluteaceae,winter,sul,1
Pluteus,autumn,norte,97
Pluteus,autumn,sul,56
Pluteus,spring,norte,22
Pluteus,spring,sul,21
Pluteus,summer,norte,23
Pluteus,summer,sul,4
Pluteus,unknown,norte,1
Pluteus,winter,norte,33
Pluteus,winter,sul,50
Pluteus atromarginatus,autumn,sul,1
Pluteus cervinus,autumn,norte,115
Pluteus cervinus,autumn,sul,28
Pluteus cervinus,spring,norte,61
Pluteus cervinus,spring,sul,12
Pluteus cervinus,summer,norte,46
Pluteus cervinus,unknown,norte,6
Pluteus cervinus,winter,norte,75
Pluteus cervinus,winter,sul,45
Pluteus chrysophlebius,spring,norte,1
Pluteus chrysophlebius,unknown,norte,1
Pluteus exilis,autumn,norte,3
Pluteus exilis,autumn,sul,1
Pluteus exilis,spring,norte,2
Pluteus exilis,winter,norte,2
Pluteus exilis,winter,sul,3
Pluteus salicinus,autumn,sul,1
Polyporaceae,unknown,sul,1
Polyporales,autumn,norte,1
Polyporales,autumn,sul,3
Protostropharia semiglobata,spring,norte,1
Psathyrella,summer,sul,1
Psathyrella,winter,sul,4
Psathyrella ammophila,spring,norte,1
Psathyrellaceae,autumn,norte,3
Psathyrellaceae,autumn,sul,1
Psathyrellaceae,summer,sul,2
Psathyrellaceae,winter,sul,1
Pseudoclitocybe cyathiformis,winter,sul,1
Psilocybe,autumn,norte,19
Psilocybe,autumn,sul,2
Psilocybe,winter,sul,3
Psilocybe cubensis,autumn,norte,2
Psilocybe cubensis,spring,sul,2
Psilocybe cubensis,summer,sul,1
Psilocybe cubensis,winter,norte,1
Psilocybe cubensis,winter,sul,1
Psilocybe gallaeciae,autumn,norte,8
Psilocybe semilanceata,autumn,norte,134
Psilocybe semilanceata,autumn,sul,4
Psilocybe semilanceata,spring,norte,2
Psilocybe semilanceata,summer,norte,4
Psilocybe semilanceata,winter,norte,12
Psilocybe semilanceata,winter,sul,1
Rhizocarpon geographicum,summer,sul,1
Rinodina oxydata,summer,sul,1
Roridomyces appendiculatus,autumn,sul,1
Russula,autumn,norte,2
Russula,spring,sul,2
Russula,winter,norte,1
Russula,winter,sul,6
Russula adusta,autumn,sul,1
Russula atropurpurea,autumn,sul,1
Russula torulosa,winter,sul,1
Russulaceae,autumn,sul,1
Russulales,summer,sul,1
Sarcomyxa serotina,autumn,norte,11
Sarcomyxa serotina,winter,norte,3
Sarcoscypha,spring,norte,1
Schizophyllum commune,autumn,norte,242
Schizophyllum commune,autumn,sul,293
Schizophyllum commune,spring,norte,304
Schizophyllum commune,spring,sul,453
Schizophyllum commune,summer,norte,104
Schizophyllum commune,summer,sul,98
Schizophyllum commune,unknown,norte,4
Schizophyllum commune,unknown,sul,4
Schizophyllum commune,winter,norte,370
Schizophyllum commune,winter,sul,714
Scleroderma,autumn,sul,1
Scleroderma meridionale,winter,sul,1
Scleroderma polyrhizum,autumn,sul,1
Scleroderma polyrhizum,winter,sul,1
Sclerodermataceae,winter,sul,1
Sparassis,autumn,norte,40
Sparassis,autumn,sul,10
Sparassis,summer,norte,6
Sparassis,winter,norte,8
Sparassis,winter,sul,2
Sparassis crispa,autumn,norte,1
Sparassis spathulata,unknown,norte,1
Sphaerobolus stellatus,autumn,sul,1
Stereaceae,winter,sul,1
Stereum,summer,norte,1
Stereum,winter,sul,1
Stereum hirsutum,spring,sul,1
Stereum hirsutum,winter,sul,1
Stropharia,autumn,norte,1
Strophariaceae,winter,sul,1
Subniveae,autumn,sul,1
Suillellus luridus,winter,sul,1
Suillellus queletii,autumn,sul,2
Suillus,autumn,norte,1
Suillus bovinus,autumn,norte,225
Suillus bovinus,autumn,sul,30
Suillus bovinus,spring,norte,16
Suillus bovinus,spring,sul,7
Suillus bovinus,summer,norte,3
Suillus bovinus,unknown,norte,2
Suillus bovinus,winter,norte,116
Suillus bovinus,winter,sul,47
Suillus collinitus,autumn,norte,1
Suillus collinitus,autumn,sul,3
Suillus collinitus,spring,sul,1
Tapinella atrotomentosa,unknown,norte,1
Terana coerulea,winter,sul,1
Trametes,autumn,norte,1
Trametes,winter,sul,1
Trametes versicolor,autumn,norte,539
Trametes versicolor,autumn,sul,169
Trametes versicolor,spring,norte,305
Trametes versicolor,spring,sul,141
Trametes versicolor,summer,norte,152
Trametes versicolor,summer,sul,41
Trametes versicolor,unknown,norte,9
Trametes versicolor,unknown,sul,9
Trametes versicolor,winter,norte,451
Trametes versicolor,winter,sul,287
Trichaptum,autumn,sul,1
Trichaptum biforme,autumn,sul,1
Tricholoma,autumn,norte,1
Tricholoma equestre,autumn,norte,1
Tricholoma sulphureum,winter,sul,2
Tubaria,winter,sul,3
Tubaria furfuracea,winter,sul,1
Umbilicaria crustulosa,summer,norte,1
Usnea,summer,norte,1
Usnea florida,winter,norte,1
Vaginatae,spring,sul,1
Vibrissea truncorum,autumn,sul,1
Vibrissea truncorum,spring,norte,5
Vibrissea truncorum,summer,norte,7
Volvariella bombycina,winter,sul,1
Volvariella volvacea,spring,norte,2
Volvariella volvacea,winter,sul,1
Volvopluteus,winter,sul,2
Volvopluteus gloiocephalus,autumn,norte,634
Volvopluteus gloiocephalus,autumn,sul,928
Volvopluteus gloiocephalus,spring,norte,29
Volvopluteus gloiocephalus,spring,sul,31
Volvopluteus gloiocephalus,summer,norte,12
Volvopluteus gloiocephalus,summer,sul,6
Volvopluteus gloiocephalus,unknown,norte,4
Volvopluteus gloiocephalus,unknown,sul,8
Volvopluteus gloiocephalus,winter,norte,237
Volvopluteus gloiocephalus,winter,sul,1121
Xerocomus,autumn,sul,1
Xylodon flaviporus,winter,sul,1
