species_name,season,region_pt,observation_count
Amanita caesarea,autumn,norte,126
Amanita caesarea,autumn,sul,120
Amanita caesarea,spring,norte,4
Amanita caesarea,spring,sul,2
Amanita caesarea,summer,norte,39
Amanita caesarea,summer,sul,3
Amanita caesarea,unknown,norte,4
Amanita caesarea,unknown,sul,2
Amanita caesarea,winter,sul,11
Amanita citrina,winter,sul,1
Amanita curtipes,winter,sul,1
Amanita gioiosa,winter,sul,1
Amanita muscaria,autumn,norte,4
Amanita muscaria,autumn,sul,1
Amanita muscaria,summer,norte,1
Amanita muscaria,winter,norte,1
Amanita muscaria,winter,sul,1
Amanita ponderosa,spring,sul,2
Amanita rubescens,spring,norte,1
Amanita verna,autumn,norte,1
Amanita verna,spring,norte,7
Amanita verna,spring,sul,1
Amanita verna,summer,norte,4
Amanita verna,winter,sul,1
Amanitaceae,autumn,norte,16
Amanitaceae,autumn,sul,6
Amanitaceae,spring,norte,4
Amanitaceae,spring,sul,2
Amanitaceae,summer,norte,4
Amanitaceae,summer,sul,1
Amanitaceae,unknown,sul,1
Amanitaceae,winter,norte,1
Amanitaceae,winter,sul,11
Anacamptis papilionacea,spring,sul,1
Armillaria,autumn,norte,529
Armillaria,autumn,sul,164
Armillaria,spring,norte,3
Armillaria,spring,sul,1
Armillaria,summer,norte,6
Armillaria,summer,sul,1
Armillaria,unknown,norte,2
Armillaria,unknown,sul,1
Armillaria,winter,norte,140
Armillaria,winter,sul,118
Armillaria mellea,autumn,norte,709
Armillaria mellea,autumn,sul,143
Armillaria mellea,spring,norte,5
Armillaria mellea,summer,norte,16
Armillaria mellea,summer,sul,6
Armillaria mellea,unknown,norte,2
Armillaria mellea,unknown,sul,2
Armillaria mellea,winter,norte,159
Armillaria mellea,winter,sul,109
Armillaria novae-zelandiae,autumn,norte,3
Armillaria ostoyae,autumn,norte,151
Armillaria ostoyae,autumn,sul,18
Armillaria ostoyae,spring,sul,1
Armillaria ostoyae,summer,norte,1
Armillaria ostoyae,summer,sul,1
Armillaria ostoyae,unknown,norte,1
Armillaria ostoyae,winter,norte,24
Armillaria ostoyae,winter,sul,6
Arrhenia,autumn,sul,1
Asterophora parasitica,winter,sul,1
Astraeus hygrometricus,winter,sul,1
Auricularia mesenterica,autumn,norte,1
Auricularia mesenterica,winter,sul,1
Auricularia nigricans,winter,sul,1
Auricularia polytricha,winter,sul,1
Basidiomycota,autumn,norte,1167
Basidiomycota,autumn,sul,742
Basidiomycota,spring,norte,245
Basidiomycota,spring,sul,197
Basidiomycota,summer,norte,241
Basidiomycota,summer,sul,85
Basidiomycota,unknown,norte,11
Basidiomycota,unknown,sul,8
Basidiomycota,winter,norte,330
Basidiomycota,winter,sul,561
Battarrea phalloides,autumn,norte,1
Battarrea phalloides,autumn,sul,1
Berkcurtia persicina,autumn,norte,1
Berkcurtia persicina,unknown,norte,1
Bolbitius titubans,autumn,norte,151
Bolbitius titubans,autumn,sul,196
Bolbitius titubans,spring,norte,43
Bolbitius titubans,spring,sul,19
Bolbitius titubans,summer,norte,40
Bolbitius titubans,summer,sul,6
Bolbitius titubans,unknown,norte,2
Bolbitius titubans,unknown,sul,2
Bolbitius titubans,winter,norte,31
Bolbitius titubans,winter,sul,89
Boletaceae,autumn,norte,1
Boletaceae,autumn,sul,2
Boletaceae,winter,sul,2
Boletales,autumn,norte,2
Boletales,autumn,sul,6
Boletales,spring,sul,1
Boletus,summer,norte,1
Boletus edulis,autumn,sul,1
Brevipes,autumn,norte,1
Calocera viscosa,winter,sul,1
Calocybe gambosa,autumn,norte,2
Calocybe gambosa,spring,norte,68
